Code,Description,CodeType,Deprecated,Created,Modified,
35BN,BIGANON,SHIPC,False,2006-12-21,2006-12-21,
35BO,BORHA,SHIPC,False,2006-12-21,2006-12-21,
35BP,SECOND MAITRE LE BIHAN,SHIPC,False,2006-12-21,2006-12-21,
35BQ,ZAMBEZE,SHIPC,False,2006-12-21,2006-12-21,
35BR,BRIX,SHIPC,False,2006-12-21,2006-12-21,
35BS,ZEEBRUGGE,SHIPC,False,2006-12-21,2006-12-21,
35BT,BRIGITTE-THERESE,SHIPC,False,2006-12-21,2006-12-21,
35BU,BOUSSOLE,SHIPC,False,2006-12-21,2006-12-21,
35BV,ZELANDE,SHIPC,False,2006-12-21,2006-12-21,
35BW,EIFFEL,SHIPC,False,2006-12-21,2006-12-21,
35BX,THALIE,SHIPC,False,2006-12-21,2006-12-21,
35BY,LAFAYETTE,SHIPC,False,2006-12-21,2006-12-21,
35BZ,BOUNTY 3,SHIPC,False,2006-12-21,2006-12-21,
35C2,CAP CANAILLE,SHIPC,False,2006-12-21,2006-12-21,
35C4,COTES DE LA MANCHE,SHIPC,False,2006-12-21,2017-07-04,
35C5,Alcyon,SHIPC,False,2013-11-22,2016-02-24,
35C6,Cotentin,SHIPC,False,2014-08-21,2016-02-24,
35CA,CALYPSO,SHIPC,False,2006-12-21,2006-12-21,
35CB,POINTE MADAM,SHIPC,False,2006-12-21,2006-12-21,
35CC,CHARLES EDMOND,SHIPC,False,2006-12-21,2006-12-21,
35CD,COMMANDANT DUBOC,SHIPC,False,2006-12-21,2006-12-21,
35CE,PECHEUR BRETON,SHIPC,False,2006-12-21,2006-12-21,
35CF,AUBRAC,SHIPC,False,2006-12-21,2006-12-21,
35CG,COMMANDANT ROBERT GIRAUD,SHIPC,False,2006-12-21,2006-12-21,
35CH,CHAMAL,SHIPC,False,2006-12-21,2006-12-21,
35CI,CAPRICORNE,SHIPC,False,2006-12-21,2019-07-11,
35CJ,CERS,SHIPC,False,2006-12-21,2006-12-21,
35CK,TREZIEN,SHIPC,False,2006-12-21,2006-12-21,
35CL,CATHERINE LAURENCE,SHIPC,False,2006-12-21,2006-12-21,
35CM,RAYMON CROZE,SHIPC,False,2006-12-21,2006-12-21,
35CN,PEN MEN,SHIPC,False,2006-12-21,2006-12-21,
35CO,CORIOLIS,SHIPC,False,2006-12-21,2009-12-08,
35CP,CAPITAINE ARMAND,SHIPC,False,2006-12-21,2006-12-21,
35CQ,CETRA SAGITTA,SHIPC,False,2006-12-21,2006-12-21,
35CR,CARIMARE,SHIPC,False,2006-12-21,2006-12-21,
35CS,CAP CORSE,SHIPC,False,2006-12-21,2006-12-21,
35CT,L. D. EDOUARD,SHIPC,False,2006-12-21,2006-12-21,
35CU,JEAN DE VIENNE,SHIPC,False,2006-12-21,2006-12-21,
35CV,RONSARD,SHIPC,False,2006-12-21,2006-12-21,
35CW,CAMARGUE,SHIPC,False,2006-12-21,2006-12-21,
35CX,CHARLES SCHIAFFINO,SHIPC,False,2006-12-21,2006-12-21,
35CY,CRYOS,SHIPC,False,2006-12-21,2009-12-08,
35CZ,CONQUERANTE,SHIPC,False,2006-12-21,2006-12-21,
35D1,ALIDADE,SHIPC,False,2009-02-17,2009-03-31,
35D2,Arago,SHIPC,False,2009-12-15,2016-02-24,
